;pubmed_id;title;keywords;journal;abstract;conclusions;methods;results;copyrights;doi;publication_date;authors
0;32792694;Surgical and visual outcomes of posterior dislocated lens fragments after cataract surgery during 5-years at a tertiary eye hospital of North India.;[];Nepalese journal of ophthalmology : a biannual peer-reviewed academic journal of the Nepal Ophthalmic Society : NEPJOPH;"To determine the surgical and visual outcomes of posteriorly dislocated lens fragments in the vitreous cavity in patients undergoing cataract surgery.
A total of 149 eyes of 149 patients from 2013 to 2018 were included in the study. The primary cataract surgery was performed either at the base hospital and its peripheral centres or referred from elsewhere. Pars plana vasectomy and nucleus removal was performed along with implantation of intraocular lens, wherever possible. Success was defined as best corrected visual acuity (BCVA) ≥ 6/12 at 3 months follow up. Poor visual outcome was defined as per WHO guidelines as BCVA ≤ 3/60.
Posterior capsular rupture and dislocation into vitreous cavity most frequently occurred during phaco-fragmentation in cases of phacoemulsification and during nucleus delivery in cases of small incision cataract surgery. Early vitrectomy was performed within 3 days in 36.2% of cases and within 14 days in 63.8% of cases. Successful visual outcome was achieved in 85.2% of patients at 3 months follow up after vitrectomy. Iatrogenic retinal break occurred in five patients during vitrectomyand five patients had retinal detachment. Poor visual outcome was observed in 12eyes, out of which glaucomatous optic neuropathy seen in 5 cases, cystoid or diabeticmacular edema in 4 cases and age related macular degeneration in 3 cases.
Posterior dislocation of lens can be successfully managed in majority of cases with vitreoretinal surgical intervention. The timing of vitrectomy whether performed early or late did not affect the visual outcome. The most important predictorof final visual acuity after PPV for retained lens fragments is a less complicated clinical course without any associated complications such as retinal detachment, cystoidmacula edema and glaucoma. Expertise of the primary cataract surgeon could not be assessed in this study, though surgeon grade with more experience is an important factor in the assessment of complications during the cataract surgery.";Posterior dislocation of lens can be successfully managed in majority of cases with vitreoretinal surgical intervention. The timing of vitrectomy whether performed early or late did not affect the visual outcome. The most important predictorof final visual acuity after PPV for retained lens fragments is a less complicated clinical course without any associated complications such as retinal detachment, cystoidmacula edema and glaucoma. Expertise of the primary cataract surgeon could not be assessed in this study, though surgeon grade with more experience is an important factor in the assessment of complications during the cataract surgery.;;Posterior capsular rupture and dislocation into vitreous cavity most frequently occurred during phaco-fragmentation in cases of phacoemulsification and during nucleus delivery in cases of small incision cataract surgery. Early vitrectomy was performed within 3 days in 36.2% of cases and within 14 days in 63.8% of cases. Successful visual outcome was achieved in 85.2% of patients at 3 months follow up after vitrectomy. Iatrogenic retinal break occurred in five patients during vitrectomyand five patients had retinal detachment. Poor visual outcome was observed in 12eyes, out of which glaucomatous optic neuropathy seen in 5 cases, cystoid or diabeticmacular edema in 4 cases and age related macular degeneration in 3 cases.;© NEPjOPH.;10.3126/nepjoph.v11i2.27824;2020-08-15;"[{'lastname': 'Paul', 'firstname': 'Lagan', 'initials': 'L', 'affiliation': ""Department of Vitreoretina, Dr Shroff's Charity Eye Hospital Daryaganj, Delhi.""}, {'lastname': 'Agarwal', 'firstname': 'Manisha', 'initials': 'M', 'affiliation': None}, {'lastname': 'Singh', 'firstname': 'Shalini', 'initials': 'S', 'affiliation': None}, {'lastname': 'Mayor', 'firstname': 'Rahul', 'initials': 'R', 'affiliation': None}, {'lastname': 'Gupta', 'firstname': 'Chanda', 'initials': 'C', 'affiliation': None}, {'lastname': 'Singh', 'firstname': 'Gaganjeet', 'initials': 'G', 'affiliation': None}]"
1;32792691;Outcome of cataract surgery in eyes with uveitis.;[];Nepalese journal of ophthalmology : a biannual peer-reviewed academic journal of the Nepal Ophthalmic Society : NEPJOPH;"To assess the outcome of cataract surgery in patients with uveitis without the use of prophylactic high dose (> 5-10 mg/day) systemic steroid.
A hospital based prospective study enrolling 64 eyes of 60 patients with uveitis and cataract from May 2013 to April 2014 having intraocular inflammation under control for at least 3 months preoperatively and underwent phacoemulsification with in bag placement of foldable acrylic intraocular lens (IOL).
Twenty six male and 34 female were included with mean age of 47.23 ± 16.85SD (16-85) years. In 43.75 % of eyes the uveitis was idiopathic followed by sarcoiduveitis (18.7%), Herpetic uveitis (15.6%), Tubercular uveitis (6.2%), VKH (4.6%), HLAB 27(4.6%), Behcet's, endogenous endophthalmitis, Wegener's granulomatosis and lepromatous uveitis (1.5% each). Anterior chamber cell count was grade 1+ in 33 eyes (51.56%) on 1st post-operative day and in 29 eyes (45.31%) on second follow up. Out of total 11 eyes (17.18%) that developed fibrin, 7 eyes were treated with subconjunctival injection of dexamethasone with half hourly topical steroid drops. Other 4 eyes that developed fibrin responded to half hourly topical steroid. Dose of oralprednisolone increased in 6 patients in early post operative duration. At the final follow up, 50 eyes (92.58% ) had improvement in best corrected visual acuity and cystoidmacular edema (CME) in 5% (n=3) eyes.
Even without the use of preoperative high dose of oral steroid, inflammation was under control with significant improvement in visual acuity 3 months postoperatively.";Even without the use of preoperative high dose of oral steroid, inflammation was under control with significant improvement in visual acuity 3 months postoperatively.;A hospital based prospective study enrolling 64 eyes of 60 patients with uveitis and cataract from May 2013 to April 2014 having intraocular inflammation under control for at least 3 months preoperatively and underwent phacoemulsification with in bag placement of foldable acrylic intraocular lens (IOL).;Twenty six male and 34 female were included with mean age of 47.23 ± 16.85SD (16-85) years. In 43.75 % of eyes the uveitis was idiopathic followed by sarcoiduveitis (18.7%), Herpetic uveitis (15.6%), Tubercular uveitis (6.2%), VKH (4.6%), HLAB 27(4.6%), Behcet's, endogenous endophthalmitis, Wegener's granulomatosis and lepromatous uveitis (1.5% each). Anterior chamber cell count was grade 1+ in 33 eyes (51.56%) on 1st post-operative day and in 29 eyes (45.31%) on second follow up. Out of total 11 eyes (17.18%) that developed fibrin, 7 eyes were treated with subconjunctival injection of dexamethasone with half hourly topical steroid drops. Other 4 eyes that developed fibrin responded to half hourly topical steroid. Dose of oralprednisolone increased in 6 patients in early post operative duration. At the final follow up, 50 eyes (92.58% ) had improvement in best corrected visual acuity and cystoidmacular edema (CME) in 5% (n=3) eyes.;© NEPjOPH.;10.3126/nepjoph.v11i2.27820;2020-08-15;[{'lastname': 'Singh', 'firstname': 'Kalpana', 'initials': 'K', 'affiliation': 'Tilganga Institute of Ophthalmology Kathmandu.'}, {'lastname': 'Shrestha', 'firstname': 'Smita', 'initials': 'S', 'affiliation': None}, {'lastname': 'Manandhar', 'firstname': 'Anu', 'initials': 'A', 'affiliation': None}]
2;32153334;Outcomes and Determinants of Posterior Dislocated Intraocular Lens Management at a Tertiary Eye Hospital in Central Saudi Arabia.;['Dislocated lens', 'glaucoma', 'intraocular lens', 'uncorrected visual acuity', 'vitreous'];Middle East African journal of ophthalmology;"The aim of this study is to evaluate the determinants of visual outcomes, complications after managing the posterior dislocated intraocular lens (IOL).
Patients with posterior dislocated IOL managed between 2002 and 2016 in our institute were reviewed. Ocular status and causes for dislocation were noted. Success was defined as uncorrected visual acuity (UCVA) of 20/20-20/200 at the last follow-up. The risk factors were associated with the success.
Of the 79 eyes with posterior dislocated IOL, 40 (50.6%) eyes had vision <20/400 at presentation. Glaucoma and retinal detachment were present in 12 (15.2%) and 5 (6.3%) eyes. IOL was removed from 33 (41.8%) eyes. Secondary IOL was implanted in 25 (31.6%) eyes, and IOL was repositioned in 19 (24.1%) eyes. The median duration of follow-up was 2.1 years. The final UCVA was ""20/20-20/60"" and "">20/200"" in 45 (57%) and 14 (17.7%) eyes. The main causes of Severe visual impairment (SVI) included glaucoma (5), corneal decompensation (5), retinal detachment (4), and macular edema (3). Young age (
The management of the dislocation of IOL had promising visual outcomes. Glaucoma and early dislocation predict poor vision after dislocated IOL management. Close monitoring is needed to manage complications.";The management of the dislocation of IOL had promising visual outcomes. Glaucoma and early dislocation predict poor vision after dislocated IOL management. Close monitoring is needed to manage complications.;;"Of the 79 eyes with posterior dislocated IOL, 40 (50.6%) eyes had vision <20/400 at presentation. Glaucoma and retinal detachment were present in 12 (15.2%) and 5 (6.3%) eyes. IOL was removed from 33 (41.8%) eyes. Secondary IOL was implanted in 25 (31.6%) eyes, and IOL was repositioned in 19 (24.1%) eyes. The median duration of follow-up was 2.1 years. The final UCVA was ""20/20-20/60"" and "">20/200"" in 45 (57%) and 14 (17.7%) eyes. The main causes of Severe visual impairment (SVI) included glaucoma (5), corneal decompensation (5), retinal detachment (4), and macular edema (3). Young age (";Copyright: © 2020 Middle East African Journal of Ophthalmology.;10.4103/meajo.MEAJO_162_19;2020-03-11;[{'lastname': 'Hazzazi', 'firstname': 'Mohammad A', 'initials': 'MA', 'affiliation': 'Vitreoretina Division, King Khaled Eye Specialist Hospital, Riyadh, Saudi Arabia.\nDepartment of Vitreoretina, King Abdulaziz Medical City, Riyadh, Saudi Arabia.'}, {'lastname': 'Rashaed', 'firstname': 'Saba Al', 'initials': 'SA', 'affiliation': 'Vitreoretina Division, King Khaled Eye Specialist Hospital, Riyadh, Saudi Arabia.\nVitroretinal Subspecialty Medical and Surgical ROP/NICU/HMG, Dr Sulaiman Alhabib Group/Arrayan, Riyadh, Saudi Arabia.'}]
3;31987642;Outcomes of Bilateral Cataracts Removed in Infants 1 to 7 Months of Age Using the Toddler Aphakia and Pseudophakia Treatment Study Registry.;[];Ophthalmology;"To evaluate outcomes of bilateral cataract surgery in infants 1 to 7 months of age performed by Infant Aphakia Treatment Study (IATS) investigators during IATS recruitment and to compare them with IATS unilateral outcomes.
Retrospective case series review at 10 IATS sites.
The Toddler Aphakia and Pseudophakia Study (TAPS) is a registry of children treated by surgeons who participated in the IATS.
Children underwent bilateral cataract surgery with or without intraocular lens (IOL) placement during IATS enrollment years 2004 through 2010.
Visual acuity (VA), strabismus, adverse events (AEs), and reoperations.
One hundred seventy-eight eyes (96 children) were identified with a median age of 2.5 months (range, 1-7 months) at the time of cataract surgery. Forty-two eyes (24%) received primary IOL implantation. Median VA of the better-seeing eye at final study visit closest to 5 years of age with optotype VA testing was 0.35 logarithm of the minimum angle of resolution (logMAR; optotype equivalent, 20/45; range, 0.00-1.18 logMAR) in both aphakic and pseudophakic children. Corrected VA was excellent (<20/40) in 29% of better-seeing eyes, 15% of worse-seeing eyes. One percent showed poor acuity (≥20/200) in the better-seeing eye, 12% in the worse-seeing eye. Younger age at surgery and smaller (<9.5 mm) corneal diameter at surgery conferred an increased risk for glaucoma or glaucoma suspect designation (younger age: odds ratio [OR], 1.44; P = 0.037; and smaller cornea: OR, 3.95; P = 0.045). Adverse events also were associated with these 2 variables on multivariate analysis (younger age: OR, 1.36; P = 0.023; and smaller cornea: OR, 4.78; P = 0.057). Visual axis opacification was more common in pseudophakic (32%) than aphakic (8%) eyes (P = 0.009). Unplanned intraocular reoperation occurred in 28% of first enrolled eyes (including glaucoma surgery in 10%).
Visual acuity after bilateral cataract surgery in infants younger than 7 months is good, despite frequent systemic and ocular comorbidities. Although aphakia management did not affect VA outcome or AE incidence, IOL placement increased the risk of visual axis opacification. Adverse events and glaucoma correlated with a younger age at surgery and glaucoma correlated with the presence of microcornea.";;;"One hundred seventy-eight eyes (96 children) were identified with a median age of 2.5 months (range, 1-7 months) at the time of cataract surgery. Forty-two eyes (24%) received primary IOL implantation. Median VA of the better-seeing eye at final study visit closest to 5 years of age with optotype VA testing was 0.35 logarithm of the minimum angle of resolution (logMAR; optotype equivalent, 20/45; range, 0.00-1.18 logMAR) in both aphakic and pseudophakic children. Corrected VA was excellent (<20/40) in 29% of better-seeing eyes, 15% of worse-seeing eyes. One percent showed poor acuity (≥20/200) in the better-seeing eye, 12% in the worse-seeing eye. Younger age at surgery and smaller (<9.5 mm) corneal diameter at surgery conferred an increased risk for glaucoma or glaucoma suspect designation (younger age: odds ratio [OR], 1.44; P = 0.037; and smaller cornea: OR, 3.95; P = 0.045). Adverse events also were associated with these 2 variables on multivariate analysis (younger age: OR, 1.36; P = 0.023; and smaller cornea: OR, 4.78; P = 0.057). Visual axis opacification was more common in pseudophakic (32%) than aphakic (8%) eyes (P = 0.009). Unplanned intraocular reoperation occurred in 28% of first enrolled eyes (including glaucoma surgery in 10%).";Copyright © 2019 American Academy of Ophthalmology. Published by Elsevier Inc. All rights reserved.;10.1016/j.ophtha.2019.10.039;2020-01-29;"[{'lastname': 'Bothun', 'firstname': 'Erick D', 'initials': 'ED', 'affiliation': 'Department of Ophthalmology, Mayo Clinic, Rochester, Minnesota; Department of Ophthalmology and Visual Neurosciences, University of Minnesota, Minneapolis, Minnesota. Electronic address: Bothun.Erick@mayo.edu.'}, {'lastname': 'Wilson', 'firstname': 'M Edward', 'initials': 'ME', 'affiliation': 'Department of Ophthalmology, Storm Eye Institute, Medical University of South Carolina, Charleston, South Carolina.'}, {'lastname': 'Vanderveen', 'firstname': 'Deborah K', 'initials': 'DK', 'affiliation': 'Department of Ophthalmology, Harvard Medical School, Boston, Massachusetts.'}, {'lastname': 'Plager', 'firstname': 'David A', 'initials': 'DA', 'affiliation': 'Department of Ophthalmology, Indiana University Medical Center, Indianapolis, Indiana.'}, {'lastname': 'Freedman', 'firstname': 'Sharon F', 'initials': 'SF', 'affiliation': 'Department of Ophthalmology, Duke University Medical Center, Durham, North Carolina.'}, {'lastname': 'Trivedi', 'firstname': 'Rupal H', 'initials': 'RH', 'affiliation': 'Department of Ophthalmology, Storm Eye Institute, Medical University of South Carolina, Charleston, South Carolina.'}, {'lastname': 'Traboulsi', 'firstname': 'Elias I', 'initials': 'EI', 'affiliation': 'Department of Pediatric Ophthalmology, Cole Eye Institute, Cleveland Clinic, Cleveland, Ohio.'}, {'lastname': 'Anderson', 'firstname': 'Jill S', 'initials': 'JS', 'affiliation': 'Department of Ophthalmology and Visual Neurosciences, University of Minnesota, Minneapolis, Minnesota.'}, {'lastname': 'Loh', 'firstname': 'Allison R', 'initials': 'AR', 'affiliation': 'Department of Ophthalmology, Oregon Health and Science University, Portland, Oregon.'}, {'lastname': 'Yen', 'firstname': 'Kimberly G', 'initials': 'KG', 'affiliation': ""Departments of Ophthalmology and Pediatrics, Baylor College of Medicine and Texas Children's Hospital, Houston, Texas.""}, {'lastname': 'Weil', 'firstname': 'Natalie C', 'initials': 'NC', 'affiliation': 'Department of Ophthalmology, Emory University School of Medicine, Atlanta, Georgia.'}, {'lastname': 'Morrison', 'firstname': 'David', 'initials': 'D', 'affiliation': 'Department of Ophthalmology and Visual Sciences, Vanderbilt University Medical Center, Nashville, Tennessee.'}, {'lastname': 'Lambert', 'firstname': 'Scott R', 'initials': 'SR', 'affiliation': 'Department of Ophthalmology, Emory University School of Medicine, Atlanta, Georgia; Departments of Ophthalmology and Pediatrics, Stanford University School of Medicine, Palo Alto, California.'}]"
4;31969759;INTRAOCULAR PRESSURE CHANGES AFTER UNEVENTFUL PHACOEMULSIFICATION IN EARLY POSTOPERATIVE PERIOD IN HEALTHY EYES.;['Intraocular pressure', 'Lens implantation, intraocular', 'Phacoemulsification', 'Tonometry, ocular'];Acta clinica Croatica;The aim was to determine early changes in intraocular pressure (IOP) following uneventful phacoemulsification and intraocular lens (IOL) implantation in healthy eyes. This prospective interventional case series study was conducted at Ophthalmology Department, Kragujevac Clinical Centre, Kragujevac, Serbia. The study included 123 eyes of 123 cataract patients, 66 women and 57 men, age range 50-88 (mean 70.73±7.94) years having undergone phacoemulsification and in-the-bag implantation of a foldable IOL. The patients were treated at Kragujevac Clinical Centre between June 2015 and May 2016. IOP was measured by Goldmann applanation tonometry preoperatively, then 4-6 hours, 18-24 hours and 7 days postoperatively by the same examiner. The mean IOP preoperatively was 15.10±2.68 mm Hg. In three patients, maximum measured IOP was 22 mm Hg. At 4-6 hours postoperatively, the mean IOP was 24.29±7.56 mm Hg (p<0.001), at 18-24 hours it was 18.37±4.80 mm Hg (p<0.001), and 7 days after the surgery the mean IOP was 16.24±2.90 mm Hg (p<0.05). The measured IOP values were statistically significant in all measured times. However, at 4-6 hours and 18-24 hours, the mean IOP value was highly statistically significant (p<0.001). Although 7 days after the surgery IOP normalized, the mean IOP value was statistically significant (p<0.05). In conclusion, our research showed that even eyes with normal preoperative values and uncomplicated phacoemulsification course can show very high IOP values postoperatively, which can cause pain, blurred vision and, rarely, compromise visual function.;;;;;10.20471/acc.2019.58.03.10;2020-01-24;"[{'lastname': 'Todorović', 'firstname': 'Miloš', 'initials': 'M', 'affiliation': '1Oftalmos, Paraćin, Serbia; 2Ophthalmology Department, Kragujevac Clinical Centre, Kragujevac, Serbia; 3Department of Ophthalmology, Faculty of Medical Sciences, University of Kragujevac, Kragujevac, Serbia.'}, {'lastname': 'Šarenac Vulović', 'firstname': 'Tatjana', 'initials': 'T', 'affiliation': '1Oftalmos, Paraćin, Serbia; 2Ophthalmology Department, Kragujevac Clinical Centre, Kragujevac, Serbia; 3Department of Ophthalmology, Faculty of Medical Sciences, University of Kragujevac, Kragujevac, Serbia.'}, {'lastname': 'Petrović', 'firstname': 'Nenad', 'initials': 'N', 'affiliation': '1Oftalmos, Paraćin, Serbia; 2Ophthalmology Department, Kragujevac Clinical Centre, Kragujevac, Serbia; 3Department of Ophthalmology, Faculty of Medical Sciences, University of Kragujevac, Kragujevac, Serbia.'}, {'lastname': 'Todorović', 'firstname': 'Dušan', 'initials': 'D', 'affiliation': '1Oftalmos, Paraćin, Serbia; 2Ophthalmology Department, Kragujevac Clinical Centre, Kragujevac, Serbia; 3Department of Ophthalmology, Faculty of Medical Sciences, University of Kragujevac, Kragujevac, Serbia.'}, {'lastname': 'Srećković', 'firstname': 'Sunčica', 'initials': 'S', 'affiliation': '1Oftalmos, Paraćin, Serbia; 2Ophthalmology Department, Kragujevac Clinical Centre, Kragujevac, Serbia; 3Department of Ophthalmology, Faculty of Medical Sciences, University of Kragujevac, Kragujevac, Serbia.'}]"
5;31915739;Severe intraocular lens opacification after scleral suturing in a patient with retinitis pigmentosa.;['intraocular lens', 'opacification', 'phacoemulsification cataract surgery', 'retinitis pigmentosa', 'scleral suturing', 'vitrectomy'];Romanian journal of ophthalmology;;;;;©Romanian Society of Ophthalmology.;;2020-01-10;[{'lastname': 'Kanclerz', 'firstname': 'Piotr', 'initials': 'P', 'affiliation': 'Private Practice, Gdańsk, Poland.'}, {'lastname': 'Grzybowski', 'firstname': 'Andrzej', 'initials': 'A', 'affiliation': 'Department of Ophthalmology, University of Warmia and Mazury, Olsztyn, Poland.\nInstitute for Research in Ophthalmology, Foundation for Ophthalmology Development, Poznan, Poland.'}]
7;31856996;Bilateral aqueous misdirection syndrome after routine cataract surgery in angle closure.;[];Journal of cataract and refractive surgery;"Cataract surgery with intraocular lens (IOL) implantation is increasingly preferred over laser peripheral iridotomy as the first-line management of primary angle-closure glaucoma after endorsement by the recently reported EAGLE (Effectiveness of Early Lens Extraction for the Treatment of Primary Angle-Closure Glaucoma) study. However, we present 2 eyes of a 63-year old woman, both of which remained shallow after cataract surgery, with 1 eye developing high and uncontrolled intraocular pressure. Both eyes needed further intervention; the latter eye received surgical treatment as well.";;;;Copyright © 2019 ASCRS and ESCRS. Published by Elsevier Inc. All rights reserved.;10.1016/j.jcrs.2019.07.034;2019-12-21;[{'lastname': 'Pathak-Ray', 'firstname': 'Vanita', 'initials': 'V', 'affiliation': 'Centre for Sight, Hyderabad, India. Electronic address: vpathakray@gmail.com.'}, {'lastname': 'Bansal', 'firstname': 'Aashish K', 'initials': 'AK', 'affiliation': 'Centre for Sight, Hyderabad, India.'}, {'lastname': 'Malhotra', 'firstname': 'Varun', 'initials': 'V', 'affiliation': 'Centre for Sight, Hyderabad, India.'}]
8;31856984;Combined phacoemulsification-viscosynechialysis-trabeculotomy vs phacotrabeculectomy in uncontrolled primary angle-closure glaucoma with cataract.;[];Journal of cataract and refractive surgery;"To compare the effect on intraocular pressure (IOP) of phacoemulsification combined with viscosynechialysis and trabeculotomy with that of phacoemulsification combined with trabeculectomy in eyes with primary angle-closure glaucoma (PACG) and visually significant cataract.
Mansoura Ophthalmic Center, Mansoura University, Egypt.
Prospective case series.
This prospective randomized study included patients with uncontrolled PACG and visually significant cataract presenting between 2012 and 2017. The eyes were randomized to phacoemulsification combined with viscosynechialysis and trabeculotomy (phaco-viscosynechialysis group) or phacoemulsification combined with trabeculectomy (phacotrabeculectomy group). Success (true and qualified) (IOP <18 mm Hg without sight-threatening complications) was studied 24 months postoperatively. Intraoperative complications were noted. The primary outcome measure was the IOP before and after surgery.
The study comprised 59 eyes of 59 patients with a mean age of 59.8 years ± 6.8 (SD) in the phaco-viscosynechialysis group (30 eyes) and 60.3 ± 6.3 years in the phacotrabeculectomy group (29 eyes) (P = .704). The mean preoperative IOP was 28.7 ± 2.14 mm Hg in the phaco-viscosynechialysis group and 28.5 ± 2.11 mm Hg in the phacotrabeculectomy group; the mean at 24 months was 14.5 ± 2.8 mm Hg and 17.3 ± 2.2 mm Hg, respectively (P < .001). The total success rate at 24 months was 90% and 83%, respectively.
Although both techniques were relatively safe and effective in reducing IOP for at least 2 years in eyes with PACG, combined phacoemulsification-viscosynechialysis-trabeculotomy gave better outcomes.";Although both techniques were relatively safe and effective in reducing IOP for at least 2 years in eyes with PACG, combined phacoemulsification-viscosynechialysis-trabeculotomy gave better outcomes.;;"The study comprised 59 eyes of 59 patients with a mean age of 59.8 years ± 6.8 (SD) in the phaco-viscosynechialysis group (30 eyes) and 60.3 ± 6.3 years in the phacotrabeculectomy group (29 eyes) (P = .704). The mean preoperative IOP was 28.7 ± 2.14 mm Hg in the phaco-viscosynechialysis group and 28.5 ± 2.11 mm Hg in the phacotrabeculectomy group; the mean at 24 months was 14.5 ± 2.8 mm Hg and 17.3 ± 2.2 mm Hg, respectively (P < .001). The total success rate at 24 months was 90% and 83%, respectively.";Copyright © 2019 ASCRS and ESCRS. Published by Elsevier Inc. All rights reserved.;10.1016/j.jcrs.2019.07.031;2019-12-21;[{'lastname': 'Elwehidy', 'firstname': 'Ahmed S', 'initials': 'AS', 'affiliation': 'Faculty of Medicine, Mansoura University, Egypt.'}, {'lastname': 'Bayoumi', 'firstname': 'Nader H L', 'initials': 'NHL', 'affiliation': 'Faculty of Medicine, Alexandria University, Egypt. Electronic address: naderbayoumi@yahoo.com.'}, {'lastname': 'Badawi', 'firstname': 'Amani E', 'initials': 'AE', 'affiliation': 'Faculty of Medicine, Mansoura University, Egypt.'}, {'lastname': 'Hagras', 'firstname': 'Sherein M', 'initials': 'SM', 'affiliation': 'Faculty of Medicine, Mansoura University, Egypt.'}, {'lastname': 'Kamel', 'firstname': 'Rania', 'initials': 'R', 'affiliation': 'Faculty of Medicine, Mansoura University, Egypt.'}]
9;31856981;Effect of hypothermic perfusion on phacoemulsification in eyes with hard nuclear cataract: randomized trial.;[];Journal of cataract and refractive surgery;"To evaluate the effectiveness and safety of hypothermic perfusion in the phacoemulsification of hard nuclear cataract.
Tertiary opthalmology center, China.
Laboratory study and prospective randomized clinical trial.
Rabbits and patients with hard nuclear cataract underwent phacoemulsification with perfusion temperatures at 4°C or 24°C. Anterior segment optical coherence tomography (AS-OCT), corneal endothelial cell count (ECC), and cornea sections were observed before the rabbits' operation and 1 day and 7 days postoperatively. AS-OCT, corneal ECC, and anterior chamber (AC) inflammation were observed before the patients' operation and 1 day, 7 days, and 30 days postoperatively.
The study comprised 40 rabbits and 80 patients. In the animal models, the mean central corneal thickness (CCT) in the 4°C group (370.4 μm ± 45.5 [SD]) was thinner than in the 24°C group (496.7 ± 121.5 μm) 1 day postoperatively (P < .001). The mean AC inflammation reaction grade in the 4°C group (1.1 ± 0.9) was lower than in the 24°C group (2.2 ± 0.8) (P = .0333). In clinical trials, the mean CCT and incisional corneal thicknesses in the 4°C group (600.7 ± 51.8 μm and 859.2 ± 177.8 μm, respectively) were thinner than in the 24°C group (655.3 ± 85.0 μm and 955.9 ± 196.7 μm, respectively) (P < .001). The endothelial cell density (P = .036) and hexagonality (P = .001) were higher in the 4°C group. The mean AC inflammation reaction grade in the 4°C group (0.6 ± 0.6) was lower than in the 24°C group (1.3 ± 1.0) 1 day postoperatively (P = .004).
Hypothermic perfusion in phacoemulsification of hard nuclear cataract is safe and it can effectively protect corneal endothelium, decrease corneal edema, and reduce AC inflammation in the early postoperative stage.";;;The study comprised 40 rabbits and 80 patients. In the animal models, the mean central corneal thickness (CCT) in the 4°C group (370.4 μm ± 45.5 [SD]) was thinner than in the 24°C group (496.7 ± 121.5 μm) 1 day postoperatively (P < .001). The mean AC inflammation reaction grade in the 4°C group (1.1 ± 0.9) was lower than in the 24°C group (2.2 ± 0.8) (P = .0333). In clinical trials, the mean CCT and incisional corneal thicknesses in the 4°C group (600.7 ± 51.8 μm and 859.2 ± 177.8 μm, respectively) were thinner than in the 24°C group (655.3 ± 85.0 μm and 955.9 ± 196.7 μm, respectively) (P < .001). The endothelial cell density (P = .036) and hexagonality (P = .001) were higher in the 4°C group. The mean AC inflammation reaction grade in the 4°C group (0.6 ± 0.6) was lower than in the 24°C group (1.3 ± 1.0) 1 day postoperatively (P = .004).;Copyright © 2019 ASCRS and ESCRS. Published by Elsevier Inc. All rights reserved.;10.1016/j.jcrs.2019.07.029;2019-12-21;"[{'lastname': 'Wan', 'firstname': 'Wenjuan', 'initials': 'W', 'affiliation': 'First Affiliated Hospital of Chongqing Medical University, Chongqing Key Laboratory of Ophthalmology and Chongqing Eye Institute, Chongqing, China.'}, {'lastname': 'Jiang', 'firstname': 'Lu', 'initials': 'L', 'affiliation': 'Chongqing Medical University, Chongqing, China.'}, {'lastname': 'Ji', 'firstname': 'Yan', 'initials': 'Y', 'affiliation': 'First Affiliated Hospital of Chongqing Medical University, Chongqing Key Laboratory of Ophthalmology and Chongqing Eye Institute, Chongqing, China.'}, {'lastname': 'Xun', 'firstname': 'Yan', 'initials': 'Y', 'affiliation': 'Chongqing Medical University, Chongqing, China.'}, {'lastname': 'Xiong', 'firstname': 'Liang', 'initials': 'L', 'affiliation': 'Chongqing Medical University, Chongqing, China.'}, {'lastname': 'Xiang', 'firstname': 'Yongguo', 'initials': 'Y', 'affiliation': 'Chongqing Medical University, Chongqing, China.'}, {'lastname': 'Li', 'firstname': 'Ruonan', 'initials': 'R', 'affiliation': 'Chongqing Medical University, Chongqing, China.'}, {'lastname': 'Li', 'firstname': 'Zhouyu', 'initials': 'Z', 'affiliation': 'Chongqing Medical University, Chongqing, China.'}, {'lastname': 'Wang', 'firstname': 'Xiaoqin', 'initials': 'X', 'affiliation': ""People's Hospital of Tongliang District, Chongqing, China.""}, {'lastname': 'Stewart', 'firstname': 'Jay M', 'initials': 'JM', 'affiliation': 'Department of Ophthalmology, University of California, San Francisco, USA.'}, {'lastname': 'Hu', 'firstname': 'Ke', 'initials': 'K', 'affiliation': 'First Affiliated Hospital of Chongqing Medical University, Chongqing Key Laboratory of Ophthalmology and Chongqing Eye Institute, Chongqing, China. Electronic address: 42222@qq.com.'}]"
10;31856978;Partial-thickness scleral tethering suture for optimum fixation and centration of transscleral-sutured intraocular lens-capsule complex.;[];Journal of cataract and refractive surgery;"We describe a surgical technique for fine-tuning the centration of a transscleral-sutured modified capsular tension ring (CTR)-intraocular lens-capsular bag complex using a partial-thickness scleral tethering suture placed posterior to the external episcleral portion of a transscleral suture loop. The technique can be used for adjusting the centration of any intraocular supporting or prosthetic device that is transsclerally sutured in a ""hanging"" technique, such as capsular tension segments, modified CTRs, capsular anchoring devices, or iris prostheses.";;;;Copyright © 2019 ASCRS and ESCRS. Published by Elsevier Inc. All rights reserved.;10.1016/j.jcrs.2019.09.015;2019-12-21;[{'lastname': 'Li', 'firstname': 'Bo', 'initials': 'B', 'affiliation': 'Western University, London, Ontario, Canada. Electronic address: bolihere@gmail.com.'}, {'lastname': 'Snyder', 'firstname': 'Michael E', 'initials': 'ME', 'affiliation': 'Cincinnati Eye Institute, University of Cincinnati, Ohio, USA.'}]
